Last Price,Change,% Change,Volume,Open Interest,Strike,Last Price,Change,% Change,Volume,Open Interest
-,-,-,-,-,160,0.25,0,-,2,2
-,-,-,-,-,165,0.3,0,-,1,1
-,-,-,-,-,170,0.75,0,-,-,2
-,-,-,-,-,175,0.51,0,-,3,6
-,-,-,-,-,180,0.46,0,-,1,2
-,-,-,-,-,185,0.66,0,-,7,21
-,-,-,-,-,190,0.45,0,-,2,108
86.95,0,-,-,0,195,1.13,0,-,8,9
80,0,-,-,6,200,1.3,0,-,19,29
-,-,-,-,-,205,1.7,0,-,3,5
-,-,-,-,-,210,2.25,0,-,32,42
-,-,-,-,-,215,2.62,0,-,22,45
-,-,-,-,-,220,3.06,0,-,45,131
49.7,0,-,-,3,225,3.7,0,-,27,544
35.67,0,-,4,0,230,5.04,0,-,43,71
-,-,-,-,-,235,5.98,0,-,11,277
29.5,0,-,10,10,240,7.01,0,-,83,311
25,0,-,1,1,245,9.1,0,-,31,546
-,-,-,-,-,247.5,9,0,-,11,0
22.55,0,-,21,0,250,9.8,0,-,12,198
-,-,-,-,-,252.5,11.27,0,-,1,0
19.3,0,-,6,16,255,13.41,0,-,32,79
33.49,0,-,1,3,257.5,14.3,0,-,32,0
15,0,-,20,33,260,14.35,0,-,44,228
14.55,0,-,16,14,262.5,15.55,0,-,44,55
13.75,0,-,129,0,265,14.55,0,-,16,58
12.12,0,-,35,0,267.5,19.22,0,-,29,27
11.17,0,-,82,39,270,19.69,0,-,64,169
9.9,0,-,43,0,272.5,22.02,0,-,19,42
9.31,0,-,73,69,275,22.93,0,-,9,57
7.73,0,-,35,0,277.5,24.2,0,-,3,0
7.5,0,-,106,210,280,19.7,0,-,5,29
7.11,0,-,188,0,282.5,28,0,-,15,37
5.87,0,-,34,195,285,19.52,0,-,8,0
5.1,0,-,6,0,287.5,-,-,-,-,-
5,0,-,61,0,290,33,0,-,2,2
4.58,0,-,61,85,292.5,24.7,0,-,5,0
4.25,0,-,4,33,295,33.88,0,-,1,1
3.61,0,-,78,0,297.5,-,-,-,-,-
3.1,0,-,73,194,300,37.78,0,-,1,0
9.28,0,-,6,0,302.5,-,-,-,-,-
2.44,0,-,18,65,305,-,-,-,-,-
1.74,0,-,27,111,310,44.35,0,-,2,2
1.3,0,-,112,0,315,-,-,-,-,-
1.01,0,-,149,130,320,42.3,0,-,-,0
0.89,0,-,21,0,325,-,-,-,-,-
0.71,0,-,17,0,330,-,-,-,-,-
0.7,0,-,2,0,335,-,-,-,-,-
0.44,0,-,8,12,340,-,-,-,-,-
0.6,0,-,3,6,345,-,-,-,-,-
0.35,0,-,14,128,350,-,-,-,-,-
0.36,0,-,3,147,355,-,-,-,-,-
0.36,0,-,2,18,360,-,-,-,-,-
0.9,0,-,2,5,365,-,-,-,-,-
0.3,0,-,1,0,370,-,-,-,-,-
0.75,0,-,2,1,375,-,-,-,-,-
0.14,0,-,1,4,380,-,-,-,-,-
0.54,0,-,-,0,385,-,-,-,-,-
0.5,0,-,-,0,395,-,-,-,-,-
0.49,0,-,-,3,400,-,-,-,-,-
0.32,0,-,-,0,405,-,-,-,-,-